Student Id,Status_daftar,Status_aktif
A19E0069F,Graduat,tidak aktif
A23E080F,Daftar,aktif
A22E162F,Diberhentikan,tidak aktif
A21E038F,Graduat,tidak aktif
A21D070F,Daftar,aktif
A20E045F,Daftar,aktif
A19E050F,NOS,aktif
A24E2858F,Daftar,aktif
A20E0214F,Daftar,aktif
A20E0100F,Graduat,tidak aktif
A18E029P,Graduat,tidak aktif
A15D007P,Graduat,tidak aktif
A20E009F,Tarik Diri,tidak aktif
A16E062F,Diberhentikan,tidak aktif
A14D015F,Graduat,tidak aktif
A14D014F,Graduat,tidak aktif
A20E002F,Graduat,tidak aktif
A19E0034F,Daftar,aktif
A19E0018F,Daftar,aktif
A22E096,Daftar,aktif
A17E005F,Diberhentikan,tidak aktif
A14E011F,Graduat,tidak aktif
A12D014F,Graduat,tidak aktif
A24D2847F,Daftar,aktif
A24D2846F,Daftar,aktif
A23E2810F,Daftar,aktif
A22E141P,Daftar,aktif
A22E096P,Daftar,aktif
A22E031F,Tidak daftar,N/A
A22E006F,Daftar,aktif
A21D071F,Daftar,aktif
A20E0294F,Diberhentikan,tidak aktif
A16E081P,Daftar,aktif
A16E069P,Daftar,aktif
A16E033P,Daftar,aktif
A16E005F,Graduat,tidak aktif
A18E024P,Daftar,aktif
A24D2803F,Daftar,aktif
A22E100F,Daftar,aktif
A14E004F,Graduat,tidak aktif
A24D3684F,Daftar,aktif
A22E009F,Daftar,aktif
A21E037F,Tangguh,aktif
A20E029F,Daftar,aktif
A19E042F,Daftar,aktif
A19E029P,Graduat,tidak aktif
A18E031F,Graduat,tidak aktif
A11D005F,Graduat,tidak aktif
A25E3973P,Daftar,aktif
A24D2819F,Daftar,aktif
A23D014F,Diberhentikan,tidak aktif
C16E012F,Daftar,aktif
A20E0065F,Graduat,tidak aktif
A24E3681F,Daftar,aktif
A24E2844F,Daftar,aktif
A24E2832F,Daftar,aktif
A23E2813F,Daftar,aktif
A22E132F,Daftar,aktif
A14E025F,Daftar,aktif
P15F103F,Tarik Diri,aktif
A22E005F,Tidak daftar,N/A
A22E001P,Tidak daftar,N/A
A19E010F,Daftar,aktif
A17E018F,Diberhentikan,tidak aktif
A17E003F,NOS,aktif
A15E028F,Graduat,tidak aktif
A14E005F,Graduat,tidak aktif
A13E001F,Graduat,tidak aktif
A13E025P,Graduat,tidak aktif
A24E2843F,Daftar,aktif
A22E121F,Daftar,aktif
A22E104F,Tidak daftar,N/A
A20E0275F,Diberhentikan,tidak aktif
A19E0029F,Graduat,tidak aktif
A19E001F,Daftar,aktif
A19E0008F,Graduat,tidak aktif
A19D037F,Tarik Diri,tidak aktif
A17E064P,Daftar,aktif
H23E018F,Daftar,aktif
A24E3854F,Daftar,aktif
A21E014F,Diberhentikan,tidak aktif
A21E006F,Daftar,aktif
A21D053F,tangguh,aktif
A22E010F,Diberhentikan,tidak aktif
A23E068F,Daftar,aktif
A23E063F,Daftar,aktif
A22E007F,Daftar,aktif
A22D043P,Diberhentikan,tidak aktif
A22D123F,Graduat,tidak aktif
A23E042F,Daftar,aktif
A22E095P,Daftar,aktif
A22E054F,Daftar,aktif
A22E049F,Daftar,aktif
A22E004F,Daftar,aktif
A21E047F,Daftar,aktif
A19E0059F,Graduat,tidak aktif
A19E0027F,Daftar,aktif
A16E037F,Graduat,tidak aktif
A22D042F,Daftar,aktif
A20E056F,Daftar,aktif
A20D077P,Daftar,aktif
A15E001F,Graduat,tidak aktif
A13D014P,Graduat,tidak aktif
A13D005F,Graduat,tidak aktif
